Designator,Mid X,Mid Y,Rotation,Layer
C1,132.43,-107.445,270.0,top
C10,138.92,-93.17,90.0,top
C11,141.385,-92.59,0.0,top
C12,171.41,-94.03,0.0,top
C13,127.83,-99.45,180.0,top
C14,137.21,-93.165,90.0,top
C2,135.45,-98.245,180.0,top
C3,130.82,-107.455,90.0,top
C4,134.04,-107.445,90.0,top
C5,173.68,-85.52,270.0,top
C6,171.792,-82.23,90.0,top
C7,173.68,-82.23,90.0,top
C8,147.51,-93.71,270.0,top
C9,153.25,-87.94,0.0,top
D1,137.74,-117.775,0.0,top
D2,145.51,-95.21,270.0,top
D3,144.195,-117.775,0.0,top
D4,137.54,-88.92,270.0,top
D5,150.65,-117.775,0.0,top
D6,157.1,-117.775,0.0,top
FB1,135.65,-107.445,90.0,top
J1,136.37,-83.675,0.0,top
J3,122.53,-78.78,180.0,top
JP1,159.975,-83.87,90.0,top
R1,137.26,-107.445,90.0,top
R10,141.385,-94.3,180.0,top
R12,143.845,-93.39,90.0,top
R13,138.09,-86.09,180.0,top
R14,127.83,-101.16,0.0,top
R15,137.27,-115.79,180.0,top
R16,143.72,-115.79,180.0,top
R18,150.175,-115.79,180.0,top
R19,156.625,-115.79,180.0,top
R2,171.97,-85.52,90.0,top
R3,126.77,-85.34,0.0,top
R4,126.77,-88.3,0.0,top
R5,128.58,-104.68,270.0,top
R6,182.31,-93.81,0.0,top
R8,145.22,-90.13,90.0,top
R9,143.05,-95.96,180.0,top
SW1,151.610001,-79.0,180.0,top
SW2,171.41,-90.65,90.0,top
SW3,161.25,-77.430001,180.0,top
SW4,128.31,-124.51,0.0,top
SW5,167.86,-90.65,90.0,top
U1,132.68,-102.345,90.0,top
U2,181.51,-79.1,0.0,top
U3,152.908,-102.108,0.0,top
U4,154.68,-92.22,0.0,top
U5,141.99,-89.36,0.0,top
